train_start,train_end,test_end,alpha,r2_train,r2_test,n_nonzero,selected_features
1961-07-31,1986-07-31,1987-07-31,0.0035,0.02512823011107801,-0.01705187556927301,17,"['Sp_Ex_ret', 'age', 'at_be', 'chcsho_12m', 'debt_gr3', 'eqnpo_me', 'iskew_hxz4_21d', 'kz_index', 'niq_be_chg1', 'ocfq_saleq_std', 'resff3_12_1', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'zero_trades_126d']"
1962-07-31,1987-07-31,1988-07-31,0.0035,0.017258652476137226,0.008608541539098291,16,"['Sp_Ex_ret', 'age', 'at_be', 'chcsho_12m', 'debt_gr3', 'eqnpo_me', 'kz_index', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'seas_6_10na', 'tangibility']"
1963-07-31,1988-07-31,1989-07-31,0.0035,0.02184190656675833,-0.007587114757546143,14,"['Sp_Ex_ret', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'netis_at', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1964-07-31,1989-07-31,1990-07-31,0.0035,0.017981094813202203,-0.008061150415703988,13,"['Sp_Ex_ret', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'seas_6_10an', 'tangibility']"
1965-07-31,1990-07-31,1991-07-31,0.0035,0.01579228141982081,0.03964492502684813,12,"['Sp_Ex_ret', 'age', 'at_be', 'capx_gr2', 'cash_at', 'chcsho_12m', 'dsale_dinv', 'niq_be_chg1', 'ocf_at_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'tangibility']"
1966-07-31,1991-07-31,1992-07-31,0.0035,0.026661950198938356,0.0050799379439222525,15,"['Sp_Ex_ret', 'at_be', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'niq_be_chg1', 'ocfq_saleq_std', 'rd_me', 'sale_bev', 'seas_11_15an', 'seas_16_20an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1967-07-31,1992-07-31,1993-07-31,0.0035,0.02076662841506438,-0.017890532782538493,18,"['Sp_Ex_ret', 'at_be', 'cash_at', 'chcsho_12m', 'coa_gr1a', 'debt_gr3', 'dsale_dinv', 'iskew_hxz4_21d', 'kz_index', 'ni_be', 'niq_be_chg1', 'ocfq_saleq_std', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'seas_2_5an', 'seas_6_10an', 'tangibility']"
1968-07-31,1993-07-31,1994-07-31,0.0035,0.01728194717852838,-0.005600570499141311,17,"['RF', 'Sp_Ex_ret', 'max_dd_12', 'at_be', 'cash_at', 'chcsho_12m', 'debt_gr3', 'dsale_dinv', 'eqnpo_me', 'netis_at', 'niq_be_chg1', 'ocfq_saleq_std', 'rd_me', 'rmax5_rvol_21d', 'sale_bev', 'seas_11_15an', 'tangibility']"
1969-07-31,1994-07-31,1995-07-31,0.0035,0.014682303098724758,0.0006926054874331067,13,"['Sp_Ex_ret', 'at_be', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'eqnpo_me', 'niq_be', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'seas_6_10an', 'tangibility']"
1970-07-31,1995-07-31,1996-07-31,0.0035,0.01354905147034069,-0.003902975229101102,15,"['Sp_Ex_ret', 'vol_12', 'at_be', 'cash_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'eqnpo_me', 'kz_index', 'ni_ar1', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_11_15an', 'seas_6_10an', 'tangibility']"
1971-07-31,1996-07-31,1997-07-31,0.0035,0.011641348262828255,-0.02078579941388181,10,"['Sp_Ex_ret', 'aliq_at', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'ni_ar1', 'niq_be_chg1', 'ocfq_saleq_std', 'seas_6_10an', 'tangibility']"
1972-07-31,1997-07-31,1998-07-31,0.0035,0.009872907079154225,-0.007707836588847217,8,"['at_be', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be', 'niq_be_chg1', 'seas_6_10an', 'tangibility']"
1973-07-31,1998-07-31,1999-07-31,0.0035,0.007766741618474793,-0.0012139930207011318,11,"['epsfi_q', 'epspi_q', 'chcsho_12m', 'cowc_gr1a', 'debt_gr3', 'niq_be', 'niq_be_chg1', 'rd_me', 'rmax5_rvol_21d', 'sale_bev', 'tangibility']"
