window,train_period,val_period,test_period,train_r2,test_r2,rmse,mae,n_features,n_train,n_val,n_test
1,1961-07 to 1980-12,1981-01 to 1985-12,1986-01 to 1986-12,0.1144,-0.0868,0.117876,0.089674,20,69382,41455,10363
2,1962-01 to 1981-12,1982-01 to 1986-12,1987-01 to 1987-12,0.1675,0.04,0.122412,0.092392,50,75879,45295,11553
3,1963-01 to 1982-12,1983-01 to 1987-12,1988-01 to 1988-12,0.2252,-0.081,0.102222,0.074207,35,82418,48981,12406
4,1964-01 to 1983-12,1984-01 to 1988-12,1989-01 to 1989-12,0.1458,-0.0576,0.101047,0.073494,30,89067,53019,13048
5,1965-01 to 1984-12,1985-01 to 1989-12,1990-01 to 1990-12,0.08,0.0274,0.116404,0.086738,40,96296,56989,13617
6,1966-01 to 1985-12,1986-01 to 1990-12,1991-01 to 1991-12,0.0842,-0.0274,0.118039,0.085561,20,103898,60987,14227
7,1967-01 to 1986-12,1987-01 to 1991-12,1992-01 to 1992-12,0.0905,-0.0157,0.107377,0.076812,20,111671,64851,15449
8,1968-01 to 1987-12,1988-01 to 1992-12,1993-01 to 1993-12,0.0617,-0.0169,0.107262,0.075653,35,120310,68747,16943
9,1969-01 to 1988-12,1989-01 to 1993-12,1994-01 to 1994-12,0.0694,-0.0619,0.10257,0.074935,40,129677,73284,18730
10,1970-01 to 1989-12,1990-01 to 1994-12,1995-01 to 1995-12,0.1069,-0.018,0.106245,0.073962,45,139494,78966,19857
11,1971-01 to 1990-12,1991-01 to 1995-12,1996-01 to 1996-12,0.0674,-0.0938,0.116213,0.082028,20,149676,85206,21557
12,1972-01 to 1991-12,1992-01 to 1996-12,1997-01 to 1997-12,0.1242,-0.0936,0.122653,0.089786,30,160253,92536,23201
13,1973-01 to 1992-12,1993-01 to 1997-12,1998-01 to 1998-12,0.0776,-0.0928,0.147657,0.110353,25,171807,100288,24897
14,1974-01 to 1993-12,1994-01 to 1998-12,1999-01 to 1999-12,0.0325,-0.0011,0.139594,0.102705,35,184034,108242,25977
15,1975-01 to 1994-12,1995-01 to 1999-12,2000-01 to 2000-12,0.0257,-0.0096,0.156483,0.116641,40,198005,115489,27607
16,1976-01 to 1995-12,1996-01 to 2000-12,2001-01 to 2001-12,0.0615,0.0219,0.137622,0.099339,30,213078,123239,28903
17,1977-01 to 1996-12,1997-01 to 2001-12,2002-01 to 2002-12,0.1037,-0.0187,0.132026,0.095441,45,229767,130585,30051
18,1978-01 to 1997-12,1998-01 to 2002-12,2003-01 to 2003-12,0.0705,-0.0768,0.119774,0.082952,30,247961,137435,30738
19,1979-01 to 1998-12,1999-01 to 2003-12,2004-01 to 2004-12,0.0333,-0.0163,0.102025,0.07045,30,267762,143276,31983
20,1980-01 to 1999-12,2000-01 to 2004-12,2005-01 to 2005-12,0.0814,-0.0164,0.100999,0.069686,20,288545,149282,33728
21,1981-01 to 2000-12,2001-01 to 2005-12,2006-01 to 2006-12,0.0689,-0.0124,0.092035,0.062393,45,310887,155403,35831
22,1982-01 to 2001-12,2002-01 to 2006-12,2007-01 to 2007-12,0.0714,-0.0344,0.102307,0.071238,30,333267,162331,39105
23,1983-01 to 2002-12,2003-01 to 2007-12,2008-01 to 2008-12,0.0766,-0.0383,0.151652,0.113585,20,355451,171385,40868
24,1984-01 to 2003-12,2004-01 to 2008-12,2009-01 to 2009-12,0.1022,-0.1749,0.160329,0.116699,35,377821,181515,41319
25,1985-01 to 2004-12,2005-01 to 2009-12,2010-01 to 2010-12,0.0633,-0.0574,0.114456,0.081651,30,400726,190851,43249
26,1986-01 to 2005-12,2006-01 to 2010-12,2011-01 to 2011-12,0.0987,-0.1918,0.121643,0.084865,40,424835,200372,45523
27,1987-01 to 2006-12,2007-01 to 2011-12,2012-01 to 2012-12,0.1063,-0.0048,0.096482,0.064368,45,450303,210064,47466
28,1988-01 to 2007-12,2008-01 to 2012-12,2013-01 to 2013-12,0.0933,-0.0483,0.095623,0.065138,45,477855,218425,49097
29,1989-01 to 2008-12,2009-01 to 2013-12,2014-01 to 2014-12,0.1066,-0.1008,0.097709,0.065925,35,506317,226654,52323
30,1990-01 to 2009-12,2010-01 to 2014-12,2015-01 to 2015-12,0.1421,-0.0688,0.109391,0.074726,40,534588,237658,55529
31,1991-01 to 2010-12,2011-01 to 2015-12,2016-01 to 2016-12,0.0686,-0.0212,0.108167,0.070803,25,564220,249938,58133
32,1992-01 to 2011-12,2012-01 to 2016-12,2017-01 to 2017-12,0.0809,-0.0627,0.09644,0.061832,25,595516,262548,61214
33,1993-01 to 2012-12,2013-01 to 2017-12,2018-01 to 2018-12,0.1197,-0.0787,0.115588,0.079953,50,627533,276296,65313
34,1994-01 to 2013-12,2014-01 to 2018-12,2019-01 to 2019-12,0.0979,-0.0512,0.11061,0.073847,20,659687,292512,69500
35,1995-01 to 2014-12,2015-01 to 2019-12,2020-01 to 2020-12,0.0969,-0.0398,0.154459,0.109263,30,693280,309689,73804
36,1996-01 to 2015-12,2016-01 to 2020-12,2021-01 to 2021-12,0.0988,-0.0489,0.116543,0.078961,30,728952,327964,83029
37,1997-01 to 2016-12,2017-01 to 2021-12,2022-01 to 2022-12,0.1153,-0.0559,0.142263,0.104091,20,765528,352860,92602
38,1998-01 to 2017-12,2018-01 to 2022-12,2023-01 to 2023-12,0.08,-0.0695,0.133542,0.093632,20,803541,384248,99011
